REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINLNDTOT,1,2043,18.2729
GLOBAL,MINLNDTOT,1,2044,18.2729
GLOBAL,MINLNDTOT,1,2045,18.2729
GLOBAL,MINLNDTOT,1,2046,18.2729
GLOBAL,MINLNDTOT,1,2047,18.2729
GLOBAL,MINLNDTOT,1,2048,18.2729
GLOBAL,MINLNDTOT,1,2049,18.2729
GLOBAL,MINLNDTOT,1,2050,18.2729
GLOBAL,MINPRCFJI,1,2021,46.59465
GLOBAL,MINPRCFJI,1,2022,46.59465
GLOBAL,MINPRCFJI,1,2023,46.59465
GLOBAL,MINPRCFJI,1,2024,46.59465
GLOBAL,MINPRCFJI,1,2025,46.59465
GLOBAL,MINPRCFJI,1,2026,46.59465
GLOBAL,MINPRCFJI,1,2027,46.59465
GLOBAL,MINPRCFJI,1,2028,46.59465
GLOBAL,MINPRCFJI,1,2029,46.59465
GLOBAL,MINPRCFJI,1,2030,46.59465
GLOBAL,MINPRCFJI,1,2031,46.59465
GLOBAL,MINPRCFJI,1,2032,46.59465
GLOBAL,MINPRCFJI,1,2033,46.59465
GLOBAL,MINPRCFJI,1,2034,46.59465
GLOBAL,MINPRCFJI,1,2035,46.59465
GLOBAL,MINPRCFJI,1,2036,46.59465
GLOBAL,MINPRCFJI,1,2037,46.59465
GLOBAL,MINPRCFJI,1,2038,46.59465
GLOBAL,MINPRCFJI,1,2039,46.59465
GLOBAL,MINPRCFJI,1,2040,46.59465
GLOBAL,MINPRCFJI,1,2041,46.59465
GLOBAL,MINPRCFJI,1,2042,46.59465
GLOBAL,MINPRCFJI,1,2043,46.59465
GLOBAL,MINPRCFJI,1,2044,46.59465
GLOBAL,MINPRCFJI,1,2045,46.59465
GLOBAL,MINPRCFJI,1,2046,46.59465
GLOBAL,MINPRCFJI,1,2047,46.59465
GLOBAL,MINPRCFJI,1,2048,46.59465
GLOBAL,MINPRCFJI,1,2049,46.59465
GLOBAL,MINPRCFJI,1,2050,46.59465
GLOBAL,LNDCONHRTOT,1,2021,0.044243878
GLOBAL,LNDCONHRTOT,1,2022,0.044436735
GLOBAL,LNDCONHRTOT,1,2023,0.044629592
GLOBAL,LNDCONHRTOT,1,2024,0.044822449
GLOBAL,LNDCONHRTOT,1,2025,0.045015306
GLOBAL,LNDCONHRTOT,1,2026,0.045160612
GLOBAL,LNDCONHRTOT,1,2027,0.045305918
GLOBAL,LNDCONHRTOT,1,2028,0.045451224
GLOBAL,LNDCONHRTOT,1,2029,0.045596531
GLOBAL,LNDCONHRTOT,1,2030,0.045741837
GLOBAL,LNDCONHRTOT,1,2031,0.045841224
GLOBAL,LNDCONHRTOT,1,2032,0.045940612
GLOBAL,LNDCONHRTOT,1,2033,0.04604
GLOBAL,LNDCONHRTOT,1,2034,0.046139388
GLOBAL,LNDCONHRTOT,1,2035,0.046238776
GLOBAL,LNDCONHRTOT,1,2036,0.046283265
GLOBAL,LNDCONHRTOT,1,2037,0.046327959
GLOBAL,LNDCONHRTOT,1,2038,0.046372449
GLOBAL,LNDCONHRTOT,1,2039,0.046654286
GLOBAL,LNDCONHRTOT,1,2040,0.046461429
GLOBAL,LNDCONHRTOT,1,2041,0.04645449
GLOBAL,LNDCONHRTOT,1,2042,0.046447755
GLOBAL,LNDCONHRTOT,1,2043,0.046440816
GLOBAL,LNDCONHRTOT,1,2044,0.046433878
GLOBAL,LNDCONHRTOT,1,2045,0.046426939
GLOBAL,LNDCONHRTOT,1,2046,0.04638
GLOBAL,LNDCONHRTOT,1,2047,0.046332857
GLOBAL,LNDCONHRTOT,1,2048,0.046285714
GLOBAL,LNDCONHRTOT,1,2049,0.046238571
GLOBAL,LNDCONHRTOT,1,2050,0.046191429
GLOBAL,LNDCASHRTOT,1,2021,0.073357143
GLOBAL,LNDCASHRTOT,1,2022,0.073676939
GLOBAL,LNDCASHRTOT,1,2023,0.073996633
GLOBAL,LNDCASHRTOT,1,2024,0.074316429
GLOBAL,LNDCASHRTOT,1,2025,0.074636224
