cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
RCP cwd Rain-fed High.tif,RCP,Wetland rice,cwd,ricw200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200b_wde.tif,330010,GAEZ_cwd_High_Input.csv,415
RCP cwd Rain-fed Low.tif,RCP,Wetland rice,cwd,ricw200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200b_wde.tif,282778,GAEZ_cwd_Low_Input.csv,103
RCP evt Irrigation High.tif,RCP,Wetland rice,evt,ricw200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200a_eta.tif,326085,GAEZ_evt_High_Input.csv,414
RCP evt Irrigation Low.tif,RCP,Wetland rice,evt,ricw200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200a_eta.tif,278853,GAEZ_evt_Low_Input.csv,102
RCP evt Rain-fed High.tif,RCP,Wetland rice,evt,ricw200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200b_eta.tif,326760,GAEZ_evt_High_Input.csv,415
RCP evt Rain-fed Low.tif,RCP,Wetland rice,evt,ricw200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200b_eta.tif,279528,GAEZ_evt_Low_Input.csv,103
RCP yld Irrigation High.tif,RCP,Wetland rice,yld,ricw200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200a_yld.tif,325293,GAEZ_yld_High_Input.csv,414
RCP yld Irrigation Low.tif,RCP,Wetland rice,yld,ricw200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200a_yld.tif,278061,GAEZ_yld_Low_Input.csv,102
RCP yld Rain-fed High.tif,RCP,Wetland rice,yld,ricw200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200b_yld.tif,324865,GAEZ_yld_High_Input.csv,415
RCP yld Rain-fed Low.tif,RCP,Wetland rice,yld,ricw200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200b_yld.tif,277633,GAEZ_yld_Low_Input.csv,103
SGC cwd Irrigation High.tif,SGC,Sugarcane,cwd,sugc200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200a_wde.tif,324462,GAEZ_cwd_High_Input.csv,430
SGC cwd Irrigation Low.tif,SGC,Sugarcane,cwd,sugc200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200a_wde.tif,277230,GAEZ_cwd_Low_Input.csv,118
SGC cwd Rain-fed High.tif,SGC,Sugarcane,cwd,sugc200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200b_wde.tif,329546,GAEZ_cwd_High_Input.csv,431
SGC cwd Rain-fed Low.tif,SGC,Sugarcane,cwd,sugc200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200b_wde.tif,282314,GAEZ_cwd_Low_Input.csv,119
SGC evt Irrigation High.tif,SGC,Sugarcane,evt,sugc200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200a_eta.tif,326575,GAEZ_evt_High_Input.csv,430
SGC evt Irrigation Low.tif,SGC,Sugarcane,evt,sugc200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200a_eta.tif,279343,GAEZ_evt_Low_Input.csv,118
SGC evt Rain-fed High.tif,SGC,Sugarcane,evt,sugc200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200b_eta.tif,325346,GAEZ_evt_High_Input.csv,431
SGC evt Rain-fed Low.tif,SGC,Sugarcane,evt,sugc200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200b_eta.tif,278114,GAEZ_evt_Low_Input.csv,119
SGC yld Irrigation High.tif,SGC,Sugarcane,yld,sugc200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg sugar/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200a_yld.tif,325398,GAEZ_yld_High_Input.csv,430
SGC yld Irrigation Low.tif,SGC,Sugarcane,yld,sugc200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg sugar/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200a_yld.tif,278166,GAEZ_yld_Low_Input.csv,118
SGC yld Rain-fed High.tif,SGC,Sugarcane,yld,sugc200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg sugar/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/sugc200b_yld.tif,325304,GAEZ_yld_High_Input.csv,431
SGC yld Rain-fed Low.tif,SGC,Sugarcane,yld,sugc200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg sugar/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/sugc200b_yld.tif,278072,GAEZ_yld_Low_Input.csv,119
YAM cwd Irrigation High.tif,YAM,Yam,cwd,yams200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/yams200a_wde.tif,326947,GAEZ_cwd_High_Input.csv,460
YAM cwd Irrigation Low.tif,YAM,Yam,cwd,yams200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200a_wde.tif,279715,GAEZ_cwd_Low_Input.csv,148
YAM cwd Rain-fed High.tif,YAM,Yam,cwd,yams200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/yams200b_wde.tif,326309,GAEZ_cwd_High_Input.csv,461
YAM cwd Rain-fed Low.tif,YAM,Yam,cwd,yams200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200b_wde.tif,279077,GAEZ_cwd_Low_Input.csv,149
YAM evt Irrigation High.tif,YAM,Yam,evt,yams200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/yams200a_eta.tif,324796,GAEZ_evt_High_Input.csv,460
YAM evt Irrigation Low.tif,YAM,Yam,evt,yams200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200a_eta.tif,277564,GAEZ_evt_Low_Input.csv,148
YAM evt Rain-fed High.tif,YAM,Yam,evt,yams200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/yams200b_eta.tif,328911,GAEZ_evt_High_Input.csv,461
YAM evt Rain-fed Low.tif,YAM,Yam,evt,yams200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200b_eta.tif,281679,GAEZ_evt_Low_Input.csv,149
YAM yld Irrigation High.tif,YAM,Yam,yld,yams200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/yams200a_yld.tif,327791,GAEZ_yld_High_Input.csv,460
YAM yld Irrigation Low.tif,YAM,Yam,yld,yams200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200a_yld.tif,280559,GAEZ_yld_Low_Input.csv,148
YAM yld Rain-fed High.tif,YAM,Yam,yld,yams200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/yams200b_yld.tif,327509,GAEZ_yld_High_Input.csv,461
YAM yld Rain-fed Low.tif,YAM,Yam,yld,yams200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200b_yld.tif,280277,GAEZ_yld_Low_Input.csv,149
