REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S2D1,LNDAGRFJIC03,23,2044,24.357001
GLOBAL,S2D1,LNDAGRFJIC03,23,2045,24.357001
GLOBAL,S2D1,LNDAGRFJIC03,23,2046,24.357001
GLOBAL,S2D1,LNDAGRFJIC03,23,2047,24.357001
GLOBAL,S2D1,LNDAGRFJIC03,23,2048,24.357001
GLOBAL,S2D1,LNDAGRFJIC03,23,2049,24.357001
GLOBAL,S2D1,LNDAGRFJIC03,23,2050,24.236671
GLOBAL,S2D1,LNDAGRFJIC04,23,2021,4.6325445
GLOBAL,S2D1,LNDAGRFJIC04,23,2022,4.6239192
GLOBAL,S2D1,LNDAGRFJIC04,23,2023,6.1980571
GLOBAL,S2D1,LNDAGRFJIC04,23,2024,6.1962681
GLOBAL,S2D1,LNDAGRFJIC04,23,2025,6.1944792
GLOBAL,S2D1,LNDAGRFJIC04,23,2026,6.1931313
GLOBAL,S2D1,LNDAGRFJIC04,23,2027,6.1917834
GLOBAL,S2D1,LNDAGRFJIC04,23,2028,6.1904354
GLOBAL,S2D1,LNDAGRFJIC04,23,2029,6.189088
GLOBAL,S2D1,LNDAGRFJIC04,23,2030,6.18774
GLOBAL,S2D1,LNDAGRFJIC04,23,2031,6.1868179
GLOBAL,S2D1,LNDAGRFJIC04,23,2032,6.1858958
GLOBAL,S2D1,LNDAGRFJIC04,23,2033,6.1849737
GLOBAL,S1D1,LNDAGRFJIC04,23,2034,6.2888237
GLOBAL,S2D1,LNDAGRFJIC04,23,2035,6.1831299
GLOBAL,S2D2,LNDAGRFJIC04,23,2036,6.1827167
GLOBAL,S2D1,LNDAGRFJIC04,23,2037,6.1823032
GLOBAL,S2D1,LNDAGRFJIC04,23,2038,6.1818905
GLOBAL,S2D1,LNDAGRFJIC04,23,2039,6.1863341
GLOBAL,S1D2,LNDAGRFJIC04,23,2040,6.2857861
GLOBAL,S2D1,LNDAGRFJIC04,23,2041,4.5610851
GLOBAL,S2D1,LNDAGRFJIC04,23,2042,6.181192
GLOBAL,S2D1,LNDAGRFJIC04,23,2043,6.1812557
GLOBAL,S2D1,LNDAGRFJIC04,23,2044,6.1813199
GLOBAL,S2D1,LNDAGRFJIC04,23,2045,6.181384
GLOBAL,S2D1,LNDAGRFJIC04,23,2046,6.1818204
GLOBAL,S2D1,LNDAGRFJIC04,23,2047,6.1822576
GLOBAL,S2D1,LNDAGRFJIC04,23,2048,6.1826948
GLOBAL,S2D1,LNDAGRFJIC04,23,2049,6.183132
GLOBAL,S2D1,LNDAGRFJIC04,23,2050,6.1835692
GLOBAL,S1D2,PWRBIOFJIXX01,1,2021,2.1980592
GLOBAL,S1D2,PWRBIOFJIXX01,1,2023,1.0765551
GLOBAL,S1D2,PWRBIOFJIXX01,1,2024,1.1572328
GLOBAL,S1D2,PWRBIOFJIXX01,1,2025,1.2278257
GLOBAL,S1D2,PWRBIOFJIXX01,1,2026,1.3790964
GLOBAL,S1D2,PWRBIOFJIXX01,1,2027,1.5303671
GLOBAL,S1D2,PWRBIOFJIXX01,1,2028,1.6666317
GLOBAL,S1D2,PWRBIOFJIXX01,1,2029,1.3822428
GLOBAL,S1D2,PWRBIOFJIXX01,1,2030,1.2675236
GLOBAL,S1D2,PWRBIOFJIXX01,1,2031,0.79450584
GLOBAL,S1D2,PWRBIOFJIXX01,1,2032,0.31536
GLOBAL,S1D2,PWRBIOFJIXX01,1,2033,0.31536
GLOBAL,S1D2,PWRBIOFJIXX01,1,2034,0.36999364
GLOBAL,S1D2,PWRBIOFJIXX01,1,2035,0.39598044
GLOBAL,S1D2,PWRBIOFJIXX01,1,2036,0.80923886
GLOBAL,S1D2,PWRBIOFJIXX01,1,2037,1.0476863
GLOBAL,S1D2,PWRBIOFJIXX01,1,2038,0.96072429
GLOBAL,S1D2,PWRBIOFJIXX01,1,2039,1.2201362
GLOBAL,S1D2,PWRBIOFJIXX01,1,2040,1.7807188
GLOBAL,S1D2,PWRBIOFJIXX01,1,2041,2.2795184
GLOBAL,S1D2,PWRBIOFJIXX01,1,2042,2.1632661
GLOBAL,S1D2,PWRBIOFJIXX01,1,2043,2.6522593
GLOBAL,S1D2,PWRBIOFJIXX01,1,2044,3.2000371
GLOBAL,S1D2,PWRBIOFJIXX01,1,2045,3.7207994
GLOBAL,S1D2,PWRBIOFJIXX01,1,2046,3.8229867
GLOBAL,S1D2,PWRBIOFJIXX01,1,2047,3.90404
GLOBAL,S1D2,PWRBIOFJIXX01,1,2048,2.3474788
GLOBAL,S1D2,PWRBIOFJIXX01,1,2049,3.5892957
GLOBAL,S1D2,PWRBIOFJIXX01,1,2050,3.9883076
GLOBAL,S1D2,PWRHYDFJIXX01,1,2021,1.1803192
GLOBAL,S1D2,PWRHYDFJIXX01,1,2022,2.3852916
